ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_3nSEN97iknFOg0F,Default Response Set,Anonymous,,,,0,10/7/2016 17:22,10/7/2016 17:23,1,1,1,1,1,0,0,1.544,0,,,,,,,,,,,1,1,1,,,,,,1,,1,,,1,1,,1,,1,,52,6,1,26,1,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_2noB08xkoeZB2i5,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:23,1,1,1,1,,,,,,,,,,,1,1.47,2.213,3.394,2,,,,,1,1,,1,1,,,1,1,,,1,,,1,,,8,1,,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_12imPcPAQ1Tx6Wd,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:25,1,1,1,1,,,,,,,,,,,1,0,0,59.394,0,,,,,1,1,,1,,1,1,,1,,,1,1,,1,1,43,7,2,43,1,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_UYLNkXgyRRU3vUZ,Default Response Set,Anonymous,,,,0,10/7/2016 17:22,10/7/2016 17:25,1,1,1,1,1,50.948,62.08,70.598,8,,,,,,,,,,,2,1,,1,,,,,1,,,1,1,,1,,,1,1,1,70,5,2,25,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,,,
R_3KHZwvWOOktljlg,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:25,1,1,1,1,,,,,,,,,,,1,0,0,36.633,0,1,2,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,32,9,2,28,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,,,
R_3GdJqZO1dsGZVIC,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,1,0,0,69.942,0,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,,,,1,1,1,79,7,1,29,2,,1,,,,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_3njZ7jqSEHRlYM4,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,44.639,0,,,,,,,,,,1,1,,1,,1,1,,1,,1,,1,1,1,1,100,8,1,30,2,,,,,1,,,Norm conforming,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_1gAwXXtrv6wR6Nu,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,55.915,0,,,,,,1,1,1,1,,,,,1,,1,,1,,1,,1,1,1,1,99,10,1,33,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_2AWK01VX5onqysb,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,43.324,0,,,,,,,,,,2,1,,1,1,,1,,1,,1,,1,1,1,1,100,10,2,,2,,,,1,,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_25Z9kCgdeKWKyDM,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,1.165,0,,,,,,1,1,1,1,,,,,1,,,1,1,,1,,1,1,1,,63,9,1,33,2,,,,1,,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_3D5yjsIovCxKTcJ,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,9.253,9.621,71.568,2,,,,,,1,1,1,1,,,,,1,,1,,1,,1,,1,,1,,100,10,1,20,1,,,,,,,1,Norm conforming,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,,,
R_29mJditG3gJfYl0,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,1,0,0,64.449,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,1,,,1,1,,80,6,1,26,1,,,,,,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_570VMBqHzys837j,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:27,1,1,1,1,1,2.157,11.157,41.535,2,,,,,,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,,,1,,87,6,1,21,2,,1,,,,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_zZuWm8Z0NJcYLcJ,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,1,0,0,25.127,0,,,,,,,,,,,,,,,2,1,,1,1,,1,,1,,1,,,1,1,1,75,8,1,46,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_1OBTCdwdWFG02N2,Default Response Set,Anonymous,,,,0,10/7/2016 17:24,10/7/2016 17:27,1,1,1,1,,,,,,,,,,,1,0,0,44.122,0,2,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,90,9,2,29,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_2uprVZOXrXG3H4P,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,,,,,,,,,,,1,75.978,77.061,153.354,4,1,1,1,1,,,,,1,1,1,,1,1,1,,1,,,,100,5,1,35,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,,,
R_2bTZgqqdBSBEDSI,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,1,0,0,56.552,0,,,,,,,,,,,,,,,2,2,,1,1,,1,,1,,1,,,1,1,1,51,7,2,54,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_12Phio9c4u3GFKS,Default Response Set,Anonymous,,,,0,10/7/2016 17:26,10/7/2016 17:27,1,1,1,1,,,,,,1,0,0,41.294,0,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,1,1,1,1,100,10,2,24,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_ymzkAx5Zd2udAbv,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:28,1,1,1,1,,,,,,,,,,,1,0,0,49.84,0,2,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,90,10,1,35,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,,,
R_12aopx7rF7PSvDa,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:28,1,1,1,1,,,,,,,,,,,1,0,0,74.167,0,2,2,,1,,,,,,1,1,,1,1,1,,1,1,1,1,,9,2,64,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_2VezBO1h2x3zGNZ,Default Response Set,Anonymous,,,,0,10/7/2016 17:24,10/7/2016 17:28,1,1,1,1,,,,,,1,0,0,66.581,0,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,,1,1,1,50,6,2,37,2,,,,1,,,,Norm conforming,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,,,
R_307uupfjNEKXkAs,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,85.705,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,99,9,1,31,1,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_3m1AWZkZvl3fSim,Default Response Set,Anonymous,,,,0,10/7/2016 17:24,10/7/2016 17:29,1,1,1,1,1,0,0,70.961,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,1,,,1,1,1,40,6,1,50,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_3DdbW0XrEfn8M0H,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,57.417,0,1,1,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,100,9,1,33,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_PUTySiWFMFJINnH,Default Response Set,Anonymous,,,,0,10/7/2016 17:26,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,83.325,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,80,10,1,42,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_0qFiFNZx4rUxRVn,Default Response Set,Anonymous,,,,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,1,0,0,73.401,0,,,,,,,,,,2,2,1,,1,,1,,1,,1,,1,1,1,1,71,10,2,36,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_23TqyXiKiAurS4s,Default Response Set,Anonymous,,,,0,10/7/2016 17:24,10/7/2016 17:29,1,1,1,1,1,0,0,88.931,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,,1,,1,1,,91,7,1,51,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_1HkJ66BKoxybkkJ,Default Response Set,Anonymous,,,,0,10/7/2016 17:26,10/7/2016 17:29,1,1,1,1,,,,,,1,2.965,14.182,100.935,5,,,,,,,,,,2,1,,1,,1,1,,1,,1,,1,1,1,,8,10,1,37,2,,,,,1,,,Norm conforming,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_WlhcvPKUwSlEACZ,Default Response Set,Anonymous,,,,0,10/7/2016 17:27,10/7/2016 17:30,1,1,1,1,,,,,,,,,,,1,1.644,1.921,45.517,2,,,,,2,1,,1,1,1,,1,1,1,1,,1,1,1,1,97,9,1,35,2,,1,,,,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_3n0OcQj3cJGMN7j,Default Response Set,Anonymous,,,,0,10/7/2016 17:30,10/7/2016 17:31,1,1,1,1,1,0,0,34.929,0,,,,,,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,,1,1,,75,7,1,28,2,,1,,,,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_12K0VuIWzGxPmO4,Default Response Set,Anonymous,,,,0,10/7/2016 17:28,10/7/2016 17:31,1,1,1,1,,,,,,1,0,0,58.329,0,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,1,1,1,1,90,10,2,31,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_3lrgskYFuAO2iGX,Default Response Set,Anonymous,,,,0,10/7/2016 17:27,10/7/2016 17:32,1,1,1,1,,,,,,1,0,0,90.517,0,,,,,,1,1,1,1,,,,,1,,1,,1,,1,,1,1,1,1,100,9,1,32,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_3ozFXWRXccGprsy,Default Response Set,Anonymous,,,,0,10/7/2016 17:28,10/7/2016 17:32,1,1,1,1,,,,,,,,,,,1,0,0,50.883,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,99,9,1,24,2,,,,,,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_TuvQs3vAUmZYDmN,Default Response Set,Anonymous,,,,0,10/7/2016 17:23,10/7/2016 17:32,1,1,1,1,1,2.242,2.242,2.987,1,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,,1,1,1,34,7,1,24,2,,1,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_ueNDp5HzEVbVaRb,Default Response Set,Anonymous,,,,0,10/7/2016 17:28,10/7/2016 17:32,1,1,1,1,1,0,0,103.962,0,,,,,,,,,,,,,,,2,2,,1,1,,1,,1,,1,,,1,1,1,50,10,1,27,2,,,,,1,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_1hYFR05IxAas5Ek,Default Response Set,Anonymous,,,,0,10/7/2016 17:30,10/7/2016 17:32,1,1,1,1,,,,,,,,,,,1,4.8,5.201,14.847,2,1,2,1,,,,,,,1,1,,,1,1,,1,1,1,1,94,9,2,30,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_xgrRTV9BOxnAICZ,Default Response Set,Anonymous,,,,0,10/7/2016 17:30,10/7/2016 17:33,1,1,1,1,1,0,0,68.863,0,,,,,,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,,1,1,,71,6,2,69,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_2X1FvbVOVHPiUW4,Default Response Set,Anonymous,,,,0,10/7/2016 17:30,10/7/2016 17:34,1,1,1,1,,,,,,,,,,,1,0,0,60.598,0,1,1,,1,,,,,1,1,1,,1,1,1,,1,1,1,1,,8,2,34,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,,,
R_31nJ9nL9GZqfVSO,Default Response Set,Anonymous,,,,0,10/7/2016 17:29,10/7/2016 17:35,1,1,1,1,,,,,,,,,,,1,2.082,106.023,111.044,8,,,,,1,1,,1,,1,1,,1,1,1,,1,1,1,1,90,10,2,31,2,,1,,,,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_2QAtXMHNeUC4AWx,Default Response Set,Anonymous,,,,0,10/7/2016 17:29,10/7/2016 17:35,1,1,1,1,1,0,0,91.41,0,,,,,,,,,,,2,1,1,1,,,,,1,,1,,1,,1,,,1,1,1,73,9,2,59,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,,,
R_3sh2r81dldn8ieG,Default Response Set,Anonymous,,,,0,10/7/2016 17:33,10/7/2016 17:35,1,1,1,1,,,,,,,,,,,1,0,0,42.013,0,,,,,2,1,,1,1,1,1,,1,1,1,,1,1,1,1,100,10,2,31,2,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,1|2,,,,
R_2wigimeC4eVq3fK,Default Response Set,Anonymous,,,,0,10/7/2016 17:31,10/7/2016 17:35,1,1,1,1,1,2.301,11.925,88.537,5,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,1,1,1,99,5,1,33,2,,,,,1,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,1|2,,,,
R_2rkMCNwOEZy1and,Default Response Set,Anonymous,,,,0,10/7/2016 17:31,10/7/2016 17:36,1,1,1,1,,,,,,1,0,0,57.242,0,,,,,,2,1,,1,,,,,1,,,1,1,1,,1,1,,1,,26,7,2,43,2,,,,,1,,,Norm conforming,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,,,
R_8BzEI85BeIED3ep,Default Response Set,Anonymous,,,,0,10/7/2016 17:33,10/7/2016 17:36,1,1,1,1,,,,,,,,,,,1,0,0,40.984,0,,,,,2,1,,1,1,,,1,1,1,,1,1,1,1,1,10,9,1,19,2,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,,,
R_effIpY4MmML8vM5,Default Response Set,Anonymous,,,,0,10/7/2016 17:34,10/7/2016 17:36,1,1,1,1,,,,,,1,0,0,58.014,0,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,1,1,1,1,81,9,2,65,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,,,
R_3p5xPsgbCWxM8uM,Default Response Set,Anonymous,,,,0,10/7/2016 17:35,10/7/2016 17:38,1,1,1,1,1,0,0,28.687,0,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,,1,1,1,1,1,68,8,2,36,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,,,
R_2QSrVbDEarBpzH4,Default Response Set,Anonymous,,,,0,10/7/2016 17:34,10/7/2016 17:38,1,1,1,1,,,,,,,,,,,1,0,0,70.53,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,100,10,2,58,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
R_33rnYsLFosJx7Z0,Default Response Set,Anonymous,,,,0,10/7/2016 17:33,10/7/2016 17:39,1,1,1,1,,,,,,1,0,0,113.371,0,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,1,1,1,1,71,9,1,26,1,,,,,1,1,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,1|2,,,,
