ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,SNT,SNT_Time_1,SNT_Time_2,SNT_Time_3,SNT_Time_4,UNT,UNT_time_1,UNT_time_2,UNT_time_3,UNT_time_4,INT,INT_time_1,INT_time_2,INT_time_3,INT_time_4,DNT,DNT_time_1,DNT_time_2,DNT_time_3,DNT_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Agent_cntrl1_1_1,Agent_cntrl1_1_2,Agent_cntrl1_2_1,Agent_cntrl1_2_2,Agent_cntrl2_1_1,Agent_cntrl2_1_2,Agent_cntrl2_2_1,Agent_cntrl2_2_2,Agent_estims_1,Agent_estims_2,Agent_estims_3,Action_Rel_1,Action_Rel_2,Action_Cause_1,Action_Cause_2,Action_cntrl1_1_1,Action_cntrl1_1_2,Action_cntrl1_2_1,Action_cntrl1_2_2,Action_cntrl2_1_1,Action_cntrl2_1_2,Action_cntrl2_2_1,Action_cntrl2_2_2,Action_estims_1,Action_estims_2,Action_estims_3,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Object_cntrl1_1_1,Object_cntrl1_1_2,Object_cntrl1_2_1,Object_cntrl1_2_2,Object_cntrl2_1_1,Object_cntrl2_1_2,Object_cntrl2_2_1,Object_cntrl2_2_2,Object_estims_1,Object_estims_2,Object_estims_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-Standardnormtransgression,DO-BL-Unintendednormtransgression,DO-BL-Ignorantnormtransgression,DO-BL-DeceivedNormTransgression,DO-Q-Agent_rel,DO-Q-Action_Rel,DO-Q-Object_Rel,DO-Q-SNT,DO-Q-UNT,DO-Q-INT,DO-Q-DNT,LocationLatitude,LocationLongitude,LocationAccuracy
R_3HUPhUz5q6bLmzu,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,,1,,87,68,46,,,,,,,,,,,,,,,,1,26,2,,,,,1,,,Standard norm transgression,Action Questions,SNT|SNT_Time,,,,,1|2,,,,,,,,
R_3gSZqVM9AqshuQG,Default Response Set,Anonymous,,,,0,9/30/2016 10:26,9/30/2016 10:30,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,100,,,,,,,,,,,,,,,,1,21,2,,,,,1,,,Deceived Norm Transgression,Action Questions,,,,DNT|DNT_time,,1|2,,,,,,,,
R_1pWFn5vomzwAZ3d,Default Response Set,Anonymous,,,,0,9/30/2016 10:26,9/30/2016 10:30,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,94,,,,,,,,,,,,,,,,2,46,2,,,,,1,,,Unintended norm transgression,Action Questions,,UNT|UNT_time,,,,2|1,,,,,,,,
R_cOYJXxbB5DfD5Qd,Default Response Set,Anonymous,,,,0,9/30/2016 10:26,9/30/2016 10:30,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,2,,,,,1,,,Unintended norm transgression,Agent Questions,,UNT|UNT_time,,,2|1,,,,,,,,,
R_1q9BMEyK5lGo1UH,Default Response Set,Anonymous,,,,0,9/30/2016 10:28,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,4,15,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,,,,,1,,,Standard norm transgression,Agent Questions,SNT|SNT_Time,,,,2|1,,,,,,,,,
R_2y7OYFT13969Q3y,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:30,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,1,,31,31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,61,2,,,,,1,,,Unintended norm transgression,Agent Questions,,UNT|UNT_time,,,1|2,,,,,,,,,
R_NVBlwS6wtMmHAqJ,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,100,2,26,2,,,,,1,,,Standard norm transgression,Object Questions,SNT|SNT_Time,,,,,,1|2,,,,,,,
R_Zeou1f2P75MrcOZ,Default Response Set,Anonymous,,,,0,9/30/2016 10:26,9/30/2016 10:31,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,1,2,1,,1,1,,1,1,,1,,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,,,,,1,,,Deceived Norm Transgression,Agent Questions,,,,DNT|DNT_time,2|1,,,,,,,,,
R_3J9QNb2vN1DmXCX,Default Response Set,Anonymous,,,,0,9/30/2016 10:29,9/30/2016 10:31,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,46,55,47,,,,,,,,,,,,,,,,1,24,2,,,,,1,,,Standard norm transgression,Action Questions,SNT|SNT_Time,,,,,2|1,,,,,,,,
R_1rP7QglccGL01th,Default Response Set,Anonymous,,,,0,9/30/2016 10:27,9/30/2016 10:31,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,7,7,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,2,,,,,1,,,Unintended norm transgression,Agent Questions,,UNT|UNT_time,,,2|1,,,,,,,,,
